"address","amount"
"erd1a37zjppyxuf95xurs52jpwu9mj5580l2njhflqx7rvkqjhuh0fkq7272f2","10"
"erd1mvm865ey6dgvgx9m7g52h4w7574papdqfxwgpzp6mmv2vt39l6ksxq0jl4","10"
"erd1s4757rkqw4llryf4e628rpx23m6cte38laa468c8my0audtk3enqv5e3r7","10"
"erd1yyuc5c23x6ux3jke476s9ne5jpqqylc0dpv78elfhp507e67fweqan8x7d","10"
"erd10p5f562t2flu9e0juy0pcfk9vcnjuuq67nvl888rz660sla6t4nsgpu4q8","10"
"erd1k98a46guhvwvjrlxwz2ycajkul74lefd8lpw704c7vtnhfdzxhfsfgra2g","10"
"erd1hwvvfklyrwssns7zue8aad259ek6wyvayhygmghesms722hzqj3shyfpg6","10"
"erd1xy2d8nfct94a0q704eur9wa36lng4zs2m4pj4saawsvnv5ysmkcs5770ld","10"
"erd15k39dkp4z9sujprw39v2ff83tqx9fyyv5ud9pre8n22p7taw5l4qa3wdsr","10"
"erd1d2xd5sgj2vc6gnlackxlh5mrjtgjzknaj0zsra6ag5xcvf2wrudsq7r3k9","10"
"erd1mlg2akxykevxd7nqck7jacly2xy4pmf08gy23ads7ngdy8vdjvfs3rezdp","10"
"erd1s3vwn2uq6gxnakdpkjzhafzq57kkxhjy9yju57fxm22p3e3q3jtsfz2apd","10"
"erd1jwz8tqvpnrvrflgmg9t6lexa2hcr88r2kwud5uhdx0pfgp4jz5qqzh88ht","10"
"erd19ly953d7hawea2dzrda802qkp78fcjae5caaep7jsnk8lg3f5s0sgzv8tn","10"
"erd1s9hklz22uz6rhmvja2jj7w0du228wzr07pvc79h9wt5n35eaxt6sqz6cef","10"
"erd14yzwmsn8ffgw565h60vrkxvpk447v700xexqvcgunvh39s8g49zq6u4ekf","10"
"erd15s9v3g3pyy6u42fzp4rwfhevaqwn5u63u6wq6xts8pvgt5lvw9nqd6ca89","10"
"erd15vd7uupr0tc3thzycfkpwjea3nlvpqwqg2enpy2f0exptanfqw3sv5sqvn","10"
"erd1sasxu2e68gqpgefgxfh46v5nqh64ay2h4gt2gxq4nthayqgu9c5sqrd6qw","10"
"erd1lzv2jfvxj7ykmry0kmyzksay6ruxkgtuxkjs9v2kpvcu7mm8vzuqzh6axw","10"
"erd1cwhhxg229lddvs4354820m4l9cp4ttxhngeuzy32h6p04qwfmd5q5rmgyq","10"
"erd16zsphp2rzjjqa6zv64uzt5rggtjw7jazd2dpwlpe8uwau9myvkus8xl6u0","10"
"erd157w7mlgj9gehln2g22ag392utdrhaqu4r2hwvk9s4mpw0vmcfjusvp7kwl","10"
"erd1ven0n28emf780jqhymvlttd5t438mc52zh4hyyfqf52lx803zdfsdxakdq","10"
"erd1v8jlkz099uh36al9k6ltln94x6qvf3e5mznfmhqc27lgwjuddeks752ac5","10"
"erd1j3zgkhyjqrkknxkwzlccu5xa6pfk7k58kwnsd5aplgnvd8qvmvqqma7eay","10"
"erd1yj8frztjrdqrmw68a0xzrv2alsl8rqk7s8qlft3udk7alfe9smgq7rw40d","10"
"erd1m9tercjqhwef524guydztsuv5mf9p004aatp2rvjjz72vmde3n6q6409wu","10"
"erd1pg636twe46mw7a06acecmvmjln4juv8v0tdpdxz8jhds8a3kt0rsrecfu7","10"
"erd1ahgjxh62a5tlesqujsf6xuwnrqer2c3j290gk8tzgxak9svwylpsmsyp24","10"
"erd1j3ppuh8dtk0u9psjtn5axwvx4ydyvegnuych3wtmalgrzv6js7vsatqxex","10"
"erd1j4uc2wc3xlh8fnc3037h9dl8ev6ng44sa7g8kdpgh62qcfp3mlmsu6kzlj","10"
"erd138w4fc03fttstscavu2gfwh7y8wynv5rm73adttqkvc9wc7rh48q0uwk4y","10"
"erd1sez5vmm2gkaghpy5gnvf4uraqvlyns6mkj66vufs2zpqcm38da9qk86w9e","10"
